Rented_Bike_Count,Hour,Temperature°C,Humidity%,Wind_speed_m_s,Visibility_10m,Rainfallmm,Snowfall_cm,Seasons,Holiday,year,month,weekday
190,10,-4.8,57,3.0,1559,0.0,0.5,3,0,2018,1,1
84,13,7.7,95,1.9,442,0.0,0.0,0,0,2018,4,3
861,15,11.9,18,3.3,1848,0.0,0.0,2,0,2018,11,1
315,9,-3.1,66,0.2,1168,0.0,0.0,3,0,2018,1,1
254,7,7.7,48,0.4,1110,0.0,0.0,0,0,2018,4,3
133,4,4.9,63,0.0,1397,0.0,0.0,2,0,2018,11,1
1548,19,32.2,65,0.8,1894,0.0,0.0,1,0,2018,8,0
1252,12,25.2,53,3.3,976,0.0,0.0,1,0,2018,6,2
2066,21,23.5,44,1.6,2000,0.0,0.0,1,0,2018,6,4
983,9,17.5,65,1.0,416,0.0,0.0,0,0,2018,4,0
761,15,37.4,38,1.4,2000,0.0,0.0,1,1,2018,8,2
447,21,4.0,67,3.0,794,0.0,0.0,0,0,2018,4,4
779,6,20.0,78,0.4,752,0.0,0.0,1,0,2018,6,0
2153,18,24.8,83,0.8,1947,0.0,0.0,1,0,2018,8,0
681,13,9.2,13,1.6,1776,0.0,0.0,2,0,2018,11,2
1888,8,5.1,67,0.3,1981,0.0,0.0,2,0,2018,10,0
579,14,36.4,35,1.3,1967,0.0,0.0,1,0,2018,7,1
774,15,33.1,58,1.9,882,0.0,0.0,1,0,2018,7,3
1591,18,4.1,46,2.7,2000,0.0,0.0,2,0,2018,11,3
603,18,-2.6,38,1.4,1604,0.0,0.0,3,0,2018,1,3
797,11,11.8,57,2.6,1041,0.0,0.0,0,0,2018,4,6
533,21,3.1,59,1.5,2000,0.0,0.0,0,0,2018,3,0
61,5,-1.4,47,1.4,1301,0.0,0.0,3,0,2018,1,4
418,10,7.4,35,3.5,1990,0.0,0.0,0,0,2018,3,1
373,1,9.0,62,1.9,2000,0.0,0.0,0,0,2018,4,3
1041,21,19.9,93,1.4,416,0.0,0.0,0,0,2018,5,1
1483,13,27.9,41,3.9,1649,0.0,0.0,1,0,2018,6,5
89,23,-14.4,38,2.7,1738,0.0,0.3,3,0,2018,1,4
585,1,22.5,80,1.1,619,0.0,0.0,1,0,2018,6,0
2355,17,28.2,39,2.9,1653,0.0,0.0,1,0,2018,6,5
247,23,-1.3,60,2.5,792,0.0,0.0,3,0,2017,12,4
433,2,9.2,72,1.5,2000,0.0,0.0,2,0,2018,10,4
303,15,0.4,57,2.4,1179,0.0,0.0,3,0,2017,12,3
818,0,27.0,62,0.6,2000,0.0,0.0,1,0,2018,8,0
2034,18,12.1,46,1.4,799,0.0,0.0,2,0,2018,11,3
2021,19,22.5,43,0.4,2000,0.0,0.0,2,0,2018,9,5
968,13,13.6,32,1.8,1814,0.0,0.0,2,0,2018,11,3
343,15,7.3,38,0.8,2000,0.0,0.0,0,0,2018,4,6
2338,18,19.0,66,1.3,1111,0.0,0.0,0,0,2018,5,6
44,2,20.3,97,0.7,315,1.0,0.0,1,0,2018,8,0
506,22,9.8,90,3.7,493,0.0,0.0,0,0,2018,3,3
533,21,5.7,34,1.0,1520,0.0,0.0,0,0,2018,3,6
798,13,32.6,47,2.7,1641,0.0,0.0,1,0,2018,7,3
969,23,29.4,79,1.2,777,2.0,0.0,1,0,2018,8,0
750,23,15.7,51,0.4,2000,0.0,0.0,2,1,2018,9,0
1721,17,32.7,33,2.5,1994,0.0,0.0,1,0,2018,8,6
477,19,-3.3,35,1.1,2000,0.0,0.0,3,0,2017,12,4
646,8,-8.6,55,0.6,1984,0.0,0.0,3,0,2018,1,3
2528,18,35.4,40,1.0,2000,0.0,0.0,1,0,2018,8,2
31,13,24.6,97,0.5,765,9.5,0.0,1,0,2018,8,1
123,10,-9.6,32,3.7,2000,0.0,0.0,3,0,2018,2,0
422,2,18.7,83,0.6,469,0.0,0.0,0,0,2018,5,2
302,7,-8.1,51,0.5,1987,0.0,0.0,3,0,2018,1,3
2268,15,23.9,37,1.6,2000,0.0,0.0,0,0,2018,5,5
1334,13,29.6,24,2.4,1873,0.0,0.0,1,0,2018,6,5
411,16,6.9,54,1.1,692,0.0,0.0,3,0,2018,2,1
73,4,-2.3,47,0.7,984,0.0,0.0,3,0,2018,1,6
92,5,2.3,53,0.6,1763,0.0,0.0,2,0,2018,11,6
1882,18,13.1,74,1.6,1989,0.0,0.0,2,0,2018,10,4
328,3,15.0,84,1.3,473,0.0,0.0,0,0,2018,5,3
463,11,9.2,33,1.1,892,0.0,0.0,0,0,2018,3,0
281,2,8.8,49,0.7,1272,0.0,0.0,0,0,2018,4,3
334,10,-0.4,57,1.6,1309,0.0,0.0,3,0,2017,12,5
749,11,30.7,63,3.4,1323,0.0,0.0,1,0,2018,7,2
553,0,12.4,56,0.5,1028,0.0,0.0,0,0,2018,4,4
450,14,3.4,23,2.4,1545,0.0,0.0,0,0,2018,3,4
400,0,12.0,76,0.8,346,0.0,0.0,0,0,2018,3,2
387,9,-2.1,42,1.3,1519,0.0,0.0,3,0,2018,1,4
145,21,-13.2,49,4.1,2000,0.0,0.9,3,0,2018,1,1
62,12,-1.8,83,1.2,351,1.1,5.1,3,0,2017,12,0
232,21,0.7,31,1.3,1923,0.0,0.0,3,0,2018,2,5
1013,12,28.3,68,1.9,1546,0.0,0.0,1,0,2018,7,4
79,4,-0.5,75,0.6,1967,0.0,0.0,0,0,2018,3,1
40,18,12.9,97,0.0,406,9.0,0.0,2,0,2018,11,3
994,15,12.0,35,3.0,1908,0.0,0.0,2,0,2018,10,2
1160,14,18.0,31,1.2,1506,0.0,0.0,2,0,2018,11,4
276,11,0.2,22,2.2,1907,0.0,0.0,3,0,2018,2,2
82,6,4.9,83,3.0,582,0.0,0.0,3,0,2018,1,0
962,10,19.3,27,1.4,2000,0.0,0.0,0,0,2018,5,0
610,1,16.9,61,1.0,844,0.0,0.0,0,0,2018,5,4
278,12,-4.9,34,1.3,1768,0.0,0.0,3,0,2017,12,3
346,6,28.4,74,1.0,1700,0.0,0.0,1,1,2018,8,2
127,20,-5.7,67,2.6,2000,0.0,0.0,3,0,2018,2,6
1466,16,30.8,31,3.8,1246,0.0,0.0,1,0,2018,6,4
340,9,-7.9,48,1.2,1926,0.0,0.0,3,0,2018,1,3
142,16,22.5,86,2.5,342,0.0,0.0,2,0,2018,9,6
321,21,6.0,79,2.7,306,0.0,0.0,3,0,2018,2,4
1100,0,25.3,53,2.4,2000,0.0,0.0,1,0,2018,8,6
982,9,13.2,22,1.1,2000,0.0,0.0,0,0,2018,4,4
9,2,6.3,89,2.2,1456,0.0,0.0,0,0,2018,3,0
169,11,0.1,27,2.2,1874,0.0,0.0,3,1,2018,1,0
208,0,22.7,96,0.3,2000,1.0,0.0,1,0,2018,8,2
228,13,-4.5,23,2.6,1937,0.0,0.0,3,0,2018,2,2
1099,22,10.8,33,0.9,2000,0.0,0.0,0,0,2018,4,0
260,20,-8.4,42,1.0,2000,0.0,0.0,3,0,2017,12,1
48,6,1.6,78,1.6,448,0.0,0.0,3,0,2018,2,5
1325,16,31.3,52,1.2,2000,0.0,0.0,1,0,2018,7,1
352,12,4.8,47,2.6,1373,0.0,0.0,3,0,2018,2,3
2029,20,28.5,58,1.4,2000,0.0,0.0,1,0,2018,8,6
421,2,9.1,79,0.5,1625,0.0,0.0,2,0,2018,10,3
350,22,4.3,89,1.8,201,0.0,0.0,3,0,2017,12,6
2146,17,30.4,28,2.9,1834,0.0,0.0,1,0,2018,6,4
127,3,8.1,71,0.9,378,0.0,0.0,0,0,2018,3,1
170,3,18.5,82,0.8,342,0.0,0.0,0,0,2018,5,2
891,16,6.3,17,1.5,2000,0.0,0.0,2,0,2018,11,4
196,0,-1.7,79,0.5,794,0.0,0.8,3,1,2017,12,4
43,0,0.9,95,1.8,63,0.2,0.2,3,1,2017,12,6
819,7,1.7,89,1.3,295,0.0,0.3,2,0,2018,11,0
1281,22,11.6,71,0.2,1858,0.0,0.0,2,0,2018,10,2
406,3,15.5,0,0.7,1420,0.0,0.0,0,1,2018,5,1
1257,22,12.3,73,0.9,1392,0.0,0.0,2,0,2018,10,1
1915,17,27.9,75,2.5,1643,0.0,0.0,1,0,2018,7,3
27,5,-5.3,81,0.9,923,0.0,0.8,3,0,2017,12,0
783,8,-3.6,63,0.9,1473,0.0,0.0,3,0,2018,2,3
1025,19,15.3,41,2.0,1751,0.0,0.0,0,0,2018,3,5
332,2,20.0,59,1.5,2000,0.0,0.0,2,0,2018,9,0
168,23,23.4,98,0.3,662,0.5,0.0,1,0,2018,7,0
1764,16,28.9,44,1.6,1998,0.0,0.0,1,0,2018,7,5
156,18,24.1,95,4.4,261,1.0,0.0,1,0,2018,6,1
117,23,-2.9,31,3.8,2000,0.0,0.0,3,1,2018,2,5
1819,22,22.2,70,0.5,1056,0.0,0.0,1,0,2018,6,6
160,23,-0.3,35,2.1,1577,0.0,0.0,3,0,2018,2,2
84,5,-5.8,56,2.0,1941,0.0,0.0,3,0,2017,12,4
1199,14,26.3,58,1.5,1986,0.0,0.0,2,0,2018,9,4
3154,18,22.5,38,0.8,2000,0.0,0.0,2,0,2018,9,3
161,2,-1.1,79,0.7,736,0.0,0.8,3,1,2017,12,4
333,12,4.8,51,2.2,1715,0.0,0.0,0,0,2018,3,2
173,23,-9.3,47,2.1,2000,0.0,0.0,3,0,2017,12,1
1596,17,16.9,33,2.2,1972,0.0,0.0,2,0,2018,11,6
938,10,24.8,34,1.3,1869,0.0,0.0,1,0,2018,6,6
764,22,12.9,75,1.3,326,0.0,0.0,0,0,2018,3,1
116,4,-0.5,71,0.4,1345,0.0,0.0,2,0,2018,11,4
667,10,18.0,44,1.3,1984,0.0,0.0,2,1,2018,9,1
273,5,19.8,63,1.4,2000,0.0,0.0,1,0,2018,7,5
2213,16,24.5,38,2.2,1903,0.0,0.0,0,0,2018,5,0
402,21,-2.2,46,2.2,1975,0.0,0.0,3,0,2017,12,3
560,11,15.8,40,1.9,647,0.0,0.0,0,0,2018,3,1
410,1,11.9,76,1.4,286,0.0,0.0,2,0,2018,11,2
294,13,1.6,29,2.2,1662,0.0,0.0,3,0,2018,2,4
227,5,28.6,73,0.8,1808,0.0,0.0,1,1,2018,8,2
58,17,4.3,80,2.6,1357,0.1,0.0,0,0,2018,4,6
867,9,6.4,53,0.7,1486,0.0,0.0,2,0,2018,11,2
1225,18,33.4,49,1.6,1971,0.0,0.0,1,0,2018,8,6
346,22,2.9,65,2.3,1150,0.0,0.0,3,0,2018,2,3
600,8,14.8,80,0.3,1921,0.0,0.0,0,0,2018,5,0
203,8,0.0,77,2.8,289,0.0,0.0,3,0,2018,2,5
578,6,30.4,54,1.3,2000,0.0,0.0,1,0,2018,8,3
223,18,-2.6,73,1.0,684,0.0,0.0,3,0,2018,1,5
1511,22,25.7,64,1.1,2000,0.0,0.0,2,0,2018,9,6
387,7,-6.5,57,0.8,1776,0.0,0.0,3,0,2017,12,4
1171,15,29.3,41,2.0,609,0.0,0.0,1,0,2018,6,3
20,4,-5.2,28,2.5,2000,0.0,0.0,3,1,2018,2,5
83,4,13.8,98,2.9,27,0.0,0.0,0,0,2018,5,6
972,11,18.3,56,1.4,519,0.0,0.0,0,0,2018,5,4
1258,15,19.0,40,3.8,1983,0.0,0.0,2,0,2018,10,0
1092,14,26.7,40,3.3,1822,0.0,0.0,2,0,2018,9,0
28,2,6.6,86,0.6,416,0.0,0.0,0,0,2018,3,0
51,3,-12.5,49,1.5,1885,0.0,0.0,3,0,2018,2,2
1156,16,20.7,36,3.6,811,0.0,0.0,0,0,2018,3,4
381,9,2.7,71,1.3,418,0.0,0.0,0,0,2018,3,5
533,13,37.9,38,2.3,1868,0.0,0.0,1,0,2018,8,2
1917,22,22.5,54,2.1,2000,0.0,0.0,1,0,2018,7,4
670,12,33.8,44,2.0,1899,0.0,0.0,1,0,2018,8,6
92,6,-13.2,50,0.5,1873,0.0,0.0,3,0,2018,2,2
869,13,12.4,32,1.7,1441,0.0,0.0,0,0,2018,4,0
151,19,-3.1,14,5.1,2000,0.0,0.0,3,0,2018,2,5
600,2,22.1,84,0.6,2000,0.0,0.0,1,0,2018,8,6
326,0,-0.2,55,1.0,1629,0.0,0.0,3,0,2017,12,6
443,22,22.4,95,4.1,222,0.0,0.0,1,0,2018,6,1
178,1,15.1,97,1.7,173,0.2,0.0,0,0,2018,5,6
62,3,12.1,41,1.0,2000,0.2,0.0,0,0,2018,4,5
938,0,26.7,79,0.9,1590,0.0,0.0,1,0,2018,7,3
165,7,-4.4,64,2.8,1367,0.0,2.6,3,0,2017,12,1
184,8,3.6,88,2.3,2000,0.0,0.0,0,0,2018,3,0
109,6,0.8,63,1.0,2000,0.0,0.0,0,0,2018,3,5
40,19,2.3,89,0.6,96,0.0,0.0,3,0,2017,12,5
1005,9,23.3,43,1.2,1257,0.0,0.0,1,0,2018,6,5
1951,17,28.5,43,1.7,1404,0.0,0.0,0,0,2018,5,1
809,9,-0.4,57,0.6,1270,0.0,0.0,2,0,2018,11,4
226,5,19.1,62,1.6,2000,0.0,0.0,2,0,2018,9,0
122,1,-1.2,63,0.9,1846,0.0,0.0,3,0,2018,2,0
816,10,16.4,64,2.4,423,0.0,0.0,0,0,2018,5,4
2021,17,27.9,51,1.4,2000,0.0,0.0,2,0,2018,9,3
946,11,18.5,65,1.4,463,0.0,0.0,0,0,2018,5,0
2002,17,28.2,51,3.3,879,0.0,0.0,1,0,2018,6,3
191,10,12.9,84,1.0,534,0.0,0.0,2,0,2018,10,4
1502,15,20.6,26,1.2,2000,0.0,0.0,2,0,2018,10,0
763,16,37.0,38,1.2,2000,0.0,0.0,1,0,2018,7,1
198,17,-4.2,47,2.7,2000,0.0,0.0,3,0,2018,2,6
625,6,19.5,64,0.4,1268,0.0,0.0,0,0,2018,5,1
455,14,9.9,25,1.5,1401,0.0,0.0,3,0,2018,2,0
683,10,30.5,58,0.6,1875,0.0,0.0,1,0,2018,8,4
388,12,1.8,26,2.2,1556,0.0,0.0,0,0,2018,3,4
70,5,15.0,61,1.2,903,0.0,0.0,0,0,2018,5,5
1959,20,21.6,43,1.4,2000,0.0,0.0,2,0,2018,9,4
1620,7,22.1,74,0.3,830,0.0,0.0,1,0,2018,6,0
34,2,15.0,97,2.5,236,3.0,0.0,0,0,2018,5,2
794,15,34.1,45,2.4,1110,0.0,0.0,1,0,2018,7,4
180,15,6.7,63,4.5,715,0.0,1.0,3,0,2017,12,6
437,2,16.1,70,0.6,787,0.0,0.0,0,0,2018,5,4
95,6,-8.1,59,0.7,1915,0.0,1.6,3,0,2018,2,3
267,23,26.1,84,1.9,1801,0.5,0.0,1,0,2018,8,3
248,16,-6.0,29,2.8,1983,0.0,0.0,3,0,2017,12,1
183,3,3.5,86,1.4,281,0.0,0.0,2,0,2018,11,1
33,4,-11.1,50,1.2,1986,0.0,0.0,3,0,2018,1,1
149,13,22.9,92,1.2,459,0.5,0.0,1,0,2018,8,0
438,12,7.6,58,2.4,2000,0.0,0.0,0,0,2018,3,0
164,7,-15.9,30,3.0,2000,0.0,0.9,3,0,2018,1,2
103,22,-5.8,57,3.2,1980,0.0,0.0,3,0,2018,2,6
912,9,19.3,62,0.8,1894,0.0,0.0,0,1,2018,5,1
454,1,17.7,92,0.9,1958,0.0,0.0,1,0,2018,6,1
1507,21,28.6,69,1.3,2000,0.0,0.0,1,1,2018,8,2
221,15,-2.1,20,2.3,1961,0.0,0.0,3,0,2018,2,2
65,3,3.6,85,2.3,206,0.0,0.0,3,0,2017,12,0
1889,8,30.0,56,0.9,2000,0.0,0.0,1,0,2018,7,0
1220,12,25.9,39,1.2,1950,0.0,0.0,2,0,2018,9,6
265,2,11.1,56,1.4,2000,0.0,0.0,2,0,2018,10,0
653,8,-6.0,38,3.6,1994,0.0,0.0,3,0,2017,12,0
1160,7,8.4,83,1.4,1400,0.0,0.0,0,0,2018,5,3
1891,15,20.9,23,1.5,1892,0.0,0.0,2,0,2018,10,6
52,5,22.3,87,0.6,399,0.0,0.0,0,0,2018,5,2
37,4,-4.1,27,0.6,2000,0.0,0.0,3,0,2018,2,6
582,10,10.3,62,2.1,914,0.0,0.0,0,0,2018,4,6
2770,18,31.3,55,2.5,1550,0.0,0.0,1,0,2018,7,1
824,1,25.4,79,0.8,924,0.0,0.0,1,0,2018,7,3
959,11,13.0,38,2.7,2000,0.0,0.0,2,0,2018,10,4
65,5,-11.6,45,2.8,1951,0.0,0.0,3,0,2017,12,1
562,18,21.9,97,2.1,191,0.0,0.0,0,0,2018,5,2
193,23,1.3,92,0.6,209,0.0,1.0,3,0,2017,12,2
1062,20,13.3,77,1.6,833,0.0,0.0,2,0,2018,11,2
67,8,-6.5,72,0.8,670,0.0,0.2,3,0,2018,1,5
688,11,31.5,51,2.1,1498,0.0,0.0,1,0,2018,7,0
1557,20,22.6,74,1.2,1594,0.0,0.0,1,0,2018,6,3
293,14,3.2,26,2.2,1499,0.0,0.0,3,0,2018,2,4
278,15,-2.5,28,2.0,2000,0.0,0.0,3,0,2017,12,6
181,16,-10.1,34,4.3,2000,0.0,1.0,3,0,2018,1,1
1905,20,20.4,45,2.0,1457,0.0,0.0,0,0,2018,5,4
189,11,-7.2,29,1.8,1926,0.0,0.0,3,0,2017,12,6
2273,21,27.9,69,1.9,1194,0.0,0.0,1,0,2018,7,1
787,9,20.8,51,1.5,1973,0.0,0.0,1,0,2018,7,6
518,18,13.6,89,2.3,638,0.0,0.0,0,0,2018,5,2
666,15,12.5,70,2.1,360,0.0,0.0,2,0,2018,11,1
409,0,28.4,85,1.3,1406,0.0,0.0,1,0,2018,8,0
363,12,4.0,37,1.4,763,0.0,0.0,3,0,2018,2,5
110,4,19.2,97,1.0,217,0.5,0.0,1,0,2018,6,2
65,5,-2.9,77,0.8,1833,0.0,0.0,3,0,2017,12,1
589,17,6.9,25,2.9,1795,0.0,0.0,3,0,2018,2,6
72,21,23.4,98,0.4,1038,1.0,0.0,1,0,2018,7,0
1400,22,19.9,75,0.8,516,0.0,0.0,0,1,2018,5,1
579,1,9.0,66,0.7,2000,0.0,0.0,2,0,2018,10,3
699,10,12.2,73,1.9,374,0.0,0.0,2,0,2018,11,5
622,1,10.6,60,0.5,1642,0.0,0.0,2,0,2018,10,6
1698,19,28.2,82,0.4,1832,0.0,0.0,1,0,2018,8,3
1194,9,21.3,63,2.7,1969,0.0,0.0,2,0,2018,9,4
177,1,-0.8,58,0.4,400,0.0,0.0,3,0,2018,1,6
381,17,5.2,58,0.8,462,0.0,0.0,3,0,2018,1,1
1995,8,19.7,97,1.5,200,0.0,0.0,1,0,2018,6,2
1066,17,37.4,44,2.3,1829,0.0,0.0,1,0,2018,8,3
555,16,9.5,31,3.1,973,0.0,0.0,3,0,2018,2,0
84,8,-2.1,86,1.4,354,0.0,1.2,3,1,2017,12,6
213,22,-5.5,56,1.5,2000,0.0,2.0,3,0,2017,12,1
917,11,15.0,52,1.4,2000,0.0,0.0,2,0,2018,10,3
394,10,5.9,69,2.6,330,0.0,0.0,0,0,2018,3,6
132,19,1.1,68,4.4,695,0.0,0.0,3,1,2017,12,6
1502,16,24.6,29,4.0,1988,0.0,0.0,2,1,2018,9,6
343,11,0.1,30,1.8,1640,0.0,0.0,0,0,2018,3,4
192,2,-0.9,84,0.6,230,0.0,0.0,3,0,2017,12,5
1502,8,10.5,79,1.3,2000,0.0,0.0,0,0,2018,4,1
106,4,5.6,55,0.4,1115,0.0,0.0,0,0,2018,3,6
1782,17,30.1,65,1.8,1923,0.0,0.0,1,0,2018,7,4
1096,14,22.2,42,1.7,2000,0.0,0.0,0,0,2018,5,1
835,0,9.1,69,0.9,1885,0.0,0.0,2,0,2018,10,5
514,17,3.9,19,3.6,2000,0.0,0.0,3,0,2018,2,1
929,1,20.9,79,2.0,932,0.0,0.0,1,0,2018,6,6
475,18,-4.4,46,3.5,2000,0.0,0.0,3,0,2018,2,0
1407,16,32.2,39,2.8,928,0.0,0.0,1,0,2018,6,0
1935,21,22.1,72,2.5,923,0.0,0.0,1,1,2018,6,2
9,4,6.3,90,1.0,240,0.0,0.0,0,0,2018,3,0
710,11,14.1,62,1.6,2000,0.0,0.0,0,0,2018,4,1
1332,20,12.6,49,0.8,2000,0.0,0.0,0,0,2018,4,1
403,12,10.2,58,3.5,2000,0.0,0.0,0,0,2018,3,0
297,3,23.3,81,1.7,1068,0.0,0.0,1,0,2018,8,4
1344,16,28.7,70,3.2,1586,0.0,0.0,1,0,2018,7,2
398,22,-0.9,83,1.5,1380,0.0,0.0,3,0,2017,12,4
716,1,12.1,54,1.3,1820,0.0,0.0,0,0,2018,5,5
214,11,0.5,35,1.4,1558,0.0,0.0,3,0,2018,1,6
579,9,14.8,95,1.0,986,0.0,0.0,0,0,2018,5,6
309,2,28.6,80,1.2,1163,0.0,0.0,1,0,2018,8,0
578,11,10.7,68,0.4,341,0.0,0.0,2,0,2018,11,6
847,21,10.8,78,1.0,303,0.0,0.0,2,0,2018,11,5
